A 马克思主义、列宁主义、毛泽东思想、邓小平理论
B223.1 老子（李耳）
B223.2 列子（列御寇）
B223.3 杨朱（公元前395~前335年）
B223.4 关尹子
B223.5 庄子（庄周,公元前369~前286年）
B223.9 其他
B224 墨家
B225 名家
B225.1 邓析（公元前？~前501年）
B225.2 宋尹学派（宋
B225.3 惠施（公元前370~前310年）
B225.4 公孙龙（公元前320~前250年）
B225.9 其他
B226 法家
B226.1 管子（管仲,公元前？~前645年）
B226.2 商鞅（公孙鞅,公元前？~前338年）
B226.3 慎到（公元前395~前315年）
B226.4 申不害（公元前385~前337年）
B226.5 韩非（公元前280~前233年）
B226.6 李斯（公元前？~前208年）
B226.9 其他
B227 阴阳家
B228 纵横家
B228.1 苏秦
B228.2 张仪
B229 杂家
B229.1 尸子（尸佼,公元前390~前330年）
B229.2 吕不韦（公元前？~前235年）
B229.3 孔鲋（孔甲,公元前264~前208年）
B229.9 其他
B232 秦汉哲学（总论）（公元前221~公元220年）
B233 秦代哲学（公元前221~前207年）
B234 汉代哲学（公元前206~公元220年）
B234.1 陆贾
B234.2 贾谊（公元前200~前168年）
B234.4 淮南子（刘安,公元前179~前122年）
B234.5 董仲舒（公元前179~前104年）
B234.7 桓谭（？~56年）
B234.8 王充（27~97年）
B234.93 王符
B234.94 荀悦（148~209年）
B234.99 其他
B235 三国、晋、南北朝哲学（220~589年）
B235.1 何晏（190~249年）
B235.2 王弼（226~249年）
B235.3 嵇康（224~263年）
B235.4 杨泉
B235.5 裴
B235.6 郭象（252~312年）
B235.7 抱朴子（葛洪,约284~364年）
B235.8 范缜（约450~510年）
B235.9 其他
B241 隋、唐、五代哲学（581~960年）
B241.1 文中子（王通,584~617年）
B241.2 吕才（600~665年）
B241.6 李翱（772~841年）
B241.7 刘禹锡（772~842年）
B241.8 谭峭
B241.9 其他
B244 宋、元哲学（960~1368年）
B244.1 李觏（1009~1059年）
B244.2 周敦颐（濂溪,1017~1073年）
B244.3 邵雍（康节,1011~1077年）
B244.4 张载（横渠,1020~1077年）
B244.5 王安石（1021~1086年）
B244.6 程颢（明道,1032~1085年）、程颐（伊川,1033~1107年）及程朱理学
B244.7 朱熹（1130~1200年）及考亭学派
B244.8 陆九渊（象山,1139~1193年）及其学派
B244.91 陈亮（1143~1194年）及永康学派
B244.92 叶适（1150~1223年）及永嘉学派
B244.93 邓牧（1247~1306年）
B244.99 其他
B248 明代哲学（1368~1644年）
B248.1 陈献章（1428~1500年）
B248.2 王守仁（王阳明,1472~1528年）及陆王学派
B248.3 王艮（1483~1541年）及泰州学派
B248.4 王廷相（1474~1544年）
B248.5 罗钦顺（1465~1547年）
B248.6 黄绾（1477~1551年）
B248.7 何心隐（1517~1579年）
B248.91 李贽（1527~1602年）
B248.92 吕坤（1536~1618年）
B248.93 方以智（1611~1671年）
B248.99 其他
B249 清代哲学（1644~1840年）
B249.1 顾炎武（1613~1682年）
B249.2 王夫之（船山,1619~1692年）
B249.3 黄宗羲（梨州,1610~1695年）
B249.4 唐甄（1630~1704年）
B249.5 颜元（习斋,1635~1704年）、李
B249.6 戴震（东原,1723~1777年）
B249.7 章学诚（实斋,1738~1801年）
B249.8 焦循（理堂,1763~1820年）
B249.9 其他
B25 近代哲学（1840~1918年）
B251 龚自珍（1792~1841年）
B252 魏源（1794~1857年）
B254 谭嗣同（1865~1898年）
B256 严复（1853~1921年）
B258 康有为（1858~1927年）
B259.1 梁启超（1873~1929年）
B259.2 章炳麟（1869~1936年）
B259.9 其他
B26 现代哲学（1919年~）
B261 二十世纪哲学
B262 二十一世纪哲学
B27 马克思主义哲学在中国的传播与发展
B3 亚洲哲学
B302 古代哲学
B303 中世纪哲学
B304 近代哲学
B305 现代哲学
B307 马克思主义哲学在亚洲的传播与发展
B31/39 亚洲各国哲学
B312 朝鲜哲学
B313 日本哲学
B313.2 古代哲学
B313.3 封建时代哲学
B313.4 明治时代哲学
B313.5 现代哲学
B313.7 马克思主义哲学在日本的传播与发展
B333 越南哲学
B351 印度哲学
B351.2 古代哲学
B351.3 中古时期哲学
B351.4 近代哲学（1757~1947年）
B351.5 现代哲学
B351.7 马克思主义哲学在印度的传播与发展
B371 阿拉伯哲学（总论）
B373 伊朗哲学（波斯哲学）
B382 以色列哲学
B4 非洲哲学
B41 北非哲学
B411 埃及哲学
B5 欧洲哲学
B502 古代哲学
B502.1 希腊奴隶制形成时期（公元前7~前6世纪）
B502.11 爱奥尼亚学派
B502.12 米利都学派
B502.121 泰勒斯（Thales,约公元前624~前547年）
B502.122 阿那克西曼德（Anaxi-mandros,约公元前610~前546年）
B502.123 阿那克西美尼（Anaxime-nes,公元前588~前525年）
B502.13 爱非斯学派
B502.14 毕达哥拉斯学派
B502.15 埃利亚学派
B502.151 色诺芬尼（Xenophanes,公元前565~前473年）
B502.152 巴门尼德（Parmenides,公元前6世纪末）
B502.153 芝诺（Zenon,公元前490~前436年）
B502.19 其他
B502.2 希腊奴隶主民主制繁荣和衰落时期（公元前5~前4世纪）
B502.21 古希腊唯物论哲学学派
B502.211 阿那克萨哥拉（Anaxagoras,公元前500~前428年）
B502.212 恩培多克勒（Empedok-les,公元前490~前430年）
B502.213 德谟克利特（Demokritos,约公元前460~前370年）
B502.22 智者派（诡辩派）
B502.23 唯心论哲学学派
B502.231 苏格拉底（Sokrates,公元前469~前399年）
B502.232 柏拉图（Platon,公元前427~前347年）
B502.233 亚里士多德（Aristoteles,公元前384~前322年）
B502.24 麦加拉学派
B502.25 犬儒学派
B502.26 昔勒尼学派（克兰尼学派）
B502.29 其他
B502.3 希腊奴隶制危机和衰落时期（公元前336~前30年）
B502.31 伊壁鸠鲁及其学派
B502.32 斯多亚派（画廊派）
B502.33 怀疑论派
B502.39 其他
B502.4 古罗马哲学
B502.41 唯物论
B502.42 折衷主义
B502.43 新斯多亚派
B502.44 新柏拉图主义
B502.49 其他
B503 中世纪哲学
B503.1 教父哲学
B503.2 经院哲学
B503.21 托马斯・阿奎那（Thomas,Aquinas,1225~1274年）
B503.22 安瑟伦（Anselm,1033~1109年）
B503.23 邓斯・司各脱（DunsScotus,Jahahnes,1265~1308年）
B503.24 奥卡姆（Occam,Williamof,1300~1350年）
B503.3 神秘主义
B503.31 爱克哈特（Eckhart,M.J.约1260~1327年）
B503.32 亚克利巴（Agrippa,1486~1535年）
B503.33 魏格尔（Weigel,V.1533~1588年）
B503.9 资本主义产生时期（文艺复兴时期，14~16世纪）哲学
B503.91 人文主义
B503.911 佩脱拉克（Petrurca,F.1304~1374年）
B503.912 薄伽丘（Boccaccio,Gio-vanni,1313~1375年）
B503.913 彭波那齐（Pomponnazzi,Pietro,1462~1525年）
B503.914 爱拉斯谟（Erasmus,Desi-derius,1465~1536年）
B503.915 蒙台涅（Montaigne,M.E.de,1533~1592年）
B503.916 斐未斯（Vives,Louis,1492~1540年）
B503.92 科学和自然哲学
B503.921 尼古拉（库萨的）（Nicolaus,Cusanus,1401~1464年）
B503.922 伽利略（Galileo,Galilei,1564~1642年）
B503.923 布鲁诺（Bruno,Giordano,1548~1600年）
B503.99 其他
B504 十七~十九世纪前期哲学
B505 十九世纪后期~二十世纪哲学
B506 二十一世纪哲学
B507 马克思主义哲学在欧洲的传播与发展
B51/56 欧洲各国哲学
[B511.2] 俄罗斯哲学
B512 俄国及苏联（1917~1991年）哲学
B512.3 十八世纪及其以前哲学
B512.31 罗蒙诺索夫（Ломоносов,М.В.1711~1765年）
B512.32 拉吉舍夫（Раднщев,А.Н.1749~1802年）
B512.39 其他
B512.4 十九世纪哲学
B512.41 别林斯基（Белинcкий,В.Г.1811~1848年）
B512.42 赫尔岑（Герцен,А.И.1812~1870年）
B512.43 奥格辽夫（Огарёв,Н.П.1813~1877年）
B512.44 车尔尼雪夫斯基（Черныщевский,Н.Г.1828~1889年）
B512.45 杜勃罗留勃夫（Доброл-юбов,Н.А.1836~1861年）
B512.46 皮萨列夫（Писарев,Д.И.1840~1868年）
B512.49 其他
B512.5 十九世纪后期至二十世纪哲学
B512.51 巴枯宁（Бакунин,М.А.1814~1876年）
B512.52 拉甫罗夫（Лавров,П.Л.1823~1900年）
B512.53 特卡切夫（Ткачев,П.Н.1844~1885年）
B512.54 普列汉诺夫（Плеханов,Г.В.1856~1918年）
B512.55 波格丹诺夫（Богданов,А.А.1873~1928年）
B512.59 其他
B512.6 二十一世纪哲学
B512.7 马克思主义哲学的传播与发展
B516 德国哲学
B516.2 十七世纪哲学
B516.21 伯麦（Bohme,Jakob.1575~1624年）
B516.22 莱布尼兹（Leibniz,G.W.1646~1716年）
B516.29 其他
B516.3 十八世纪~十九世纪前期哲学
B516.31 康德（Kant,I.1724~1804年）
B516.32 福尔斯特（Forster,G.1754~1794年）
B516.33 费希特（Fichte,J.G.1762~1814年）
B516.34 谢林（Schelling,F.W.J.1775~1854年）
B516.35 黑格尔（Hegel,G.W.F.1770~1831年）
B516.36 费尔巴哈（Feuerbach,L.A.1804~1872年）
B516.39 其他
B516.4 十九世纪后期哲学
B516.41 叔本华（Schopenhauer,A.1788~1860年）
B516.42 赫尔巴特（Herbart,J.F.1776~1841年）
B516.43 洛兹（Lotze,R.H.1817~1881年）
B516.44 海克尔（Haeckel,E.H.1834~1919年）
B516.45 冯德（Wundt,W.1832~1920年）
B516.46 哈特曼（Hartmann,E.1842~1906年）
B516.47 尼采（Nietzsche,F.1844~1900年）
B516.49 其他
B516.5 二十世纪哲学
B516.51 倭铿（Eucken,R.C.1846~1926年）
B516.52 胡塞尔（Husserl,E.1859~1938年）
B516.53 雅斯贝尔斯（Jaspers,K.1883~1969年）
B516.54 海德格尔（Heidegger,M.1889~1976年）
B516.59 其他
B516.6 二十一世纪哲学
B516.7 马克思主义哲学在德国的产生和发展
B517 德意志民主共和国哲学（1945~1990年）
B518 德意志联邦共和国哲学（1945~1990年）
B521 奥地利哲学
B534 丹麦哲学
B541 阿尔巴尼亚哲学
B546 意大利哲学
B551 西班牙哲学
B561 英国哲学
B561.2 十七、十八世纪哲学
B561.21 培根（Bacon,F.1561~1626年）
B561.22 霍布斯（Hobbes,T.1588~1679年）
B561.23 克德沃斯（Cudworth,R.1617~1688年）
B561.24 洛克（Locke,J.1632~1704年）
B561.25 托兰德（Toland,John,1670~1722年）
B561.26 柯林斯（Collins,Anthony,1676~1729年）
B561.27 贝克莱（Berkeley,G.1684~1753年）
B561.28 李德（Reid,T.1710~1796年）
B561.291 休谟（Hume,D.1711~1776年）
B561.299 其他
B561.4 十九世纪哲学
B561.41 边沁（Bentham,J.1748~1832年）
B561.42 穆勒（Mill,J.S.1806~1873年）
B561.43 赫胥黎（Huxley,T.H.1825~1895年）
B561.44 格林（Green,T.H.1836~1882年）
B561.45 斯宾塞（Spencer,H.1820~1903年）
B561.46 布拉德莱（Bradley,F.H.1846~1924年）
B561.47 鲍桑葵（Bosanguet,B.1848~1923年）
B561.49 其他
B561.5 二十世纪哲学
B561.51 亚历山大（Alexander,S.1859~1938年）
B561.52 怀特海（Whitehead,A.N.1861~1947年）
B561.53 麦克特（Mctaggart,J.M.E.1866~1925年）
B561.54 罗素（Russell,B.1872~1970年）
B561.55 穆尔（Moore,G.E.1873~1958年）
B561.59 其他
B561.6 二十一世纪哲学
B561.7 马克思主义哲学在英国的传播与发展
B563 荷兰哲学
B563.1 斯宾诺莎（Spinoza,B.1632~1677年）
B563.2 古林克斯（Geulincx,A.1625~1669年）
B563.9 其他
B565 法国哲学
B565.2 十七、十八世纪哲学
B565.21 笛卡儿（Descartes,R.1596~1650年）
B565.22 伽桑狄（Gassendi,P.1592~1655年）
B565.23 帕斯卡（Pascal,B.1623~1662年）
B565.24 孟德斯鸠（Montesquieu,C.L.de_S.1689~1755年）
B565.25 伏尔泰（Voltaire,1694~1778年）
B565.26 卢梭（Rousseau,J.J.1712~1778年）
B565.27 拉・美特利（La_Mettrie,J.O.de1709~1751年）
B565.28 狄德罗（Diderot,D.1713~1784年）
B565.291 爱尔维修（Helvétius,C.A.1715~1771年）
B565.292 孔狄亚克（Condillac,E.B.de1715~1780年）
B565.293 达兰贝尔（D’Alembert,J.LeR.1717~1783年）
B565.294 霍尔巴赫（Holbach,P.H.D.1723~1789年）
B565.299 其他
B565.4 十九世纪哲学
B565.41 库然（Cousin,V.1792~1867年）
B565.42 孔德（Comte,A.1798~1857年）
B565.49 其他
B565.5 二十世纪哲学
B565.51 柏格森（Bergson,H.1859~1941年）
B565.52 马利丹（Maritain,J.1882~1973年）
B565.53 萨特尔（Sartre,J.P.1905~1980年）
B565.59 其他
B565.6 二十一世纪哲学
B565.7 马克思主义哲学在法国的传播与发展
B6 大洋洲哲学
B7 美洲哲学
B71 北美洲哲学
B712 美国哲学
B712.3 十八世纪~十九世纪前期哲学
B712.31 富兰克林（Franklin,B.1706~1790年）
B712.32 普利斯特莱（Priestley,J.1733~1804年）
B712.33 库柏（Cooper,T.1759~1840年）
B712.39 其他
B712.4 十九世纪后期哲学
B712.41 爱默生（Emerson,R.W.1803~1882年）
B712.42 哈利斯（Harris,W.T.1835~1909年）
B712.43 皮尔斯（Peirce,C.S.1839~1914年）
B712.44 詹姆斯（James,W.1842~1910年）
B712.45 波温（Bowne,B.P.1847~1910年）
B712.46 罗伊斯（Royce,J.1855~1916年）
B712.49 其他
B712.5 二十世纪哲学
B712.51 杜威（Dewey,J.1859~1952年）
B712.52 桑塔亚那（Santayana,G.1863~1952年）
B712.59 其他
B712.6 二十一世纪哲学
B712.7 马克思主义哲学在美国的传播与发展
B80 思维科学
B80-0 思维科学理论与方法论
B80-05 思维科学与其他科学的关系
B802 思维规律
B804 思维方式
B804.1 抽象思维
B804.2 形象思维
B804.3 灵感思维
B804.4 创造性思维
B81 逻辑学（论理学）
B81-0 逻辑学理论与方法论
B81-05 逻辑学与其他学科的关系
B81-06 逻辑学流派及其研究
B81-09 逻辑学史、逻辑思想史
B81-092 中国逻辑学史
B81-093.51 印度因明学史
B81-093.71 阿拉伯逻辑学史
B81-095 西方逻辑学史
B811 辩证逻辑
B811.0 基础理论
B811.01 黑格尔的逻辑
B811.02 马克思主义的辩证逻辑
B811.04 客观与主观逻辑
B811.05 知性与理性逻辑
B811.07 辩证思维
B811.1 基本规律
B811.2 思维形式与方法
B811.21 概念、范畴
B811.22 辩证判断
B811.23 辩证推理
B811.24 辩证思维方法
B812 形式逻辑（名学、辩学）
B812.1 基本规律
B812.2 思维形式和方法
B812.21 概念、范畴
B812.22 判断、命题
B812.23 演绎推理、三段论推理
B812.3 归纳推理（归纳法）
B812.4 论证与反驳
B812.5 谬误与诡辩
[B813] 数理逻辑（符号逻辑）
[B814] 概率逻辑
B815 哲理逻辑（非经典逻辑）
B815.1 模态逻辑
B815.2 多值逻辑
B815.3 认知逻辑
B815.4 价值逻辑
B815.5 时态逻辑
B815.6 模糊逻辑
B815.7 相干与衍推逻辑
B815.8 自由逻辑
B815.9 其他
B819 应用逻辑
B82 伦理学（道德哲学）
B82-0 伦理学理论与方法论
B82-02 伦理学的哲学基础
B82-05 伦理学与其他科学的关系
B82-051 道德与政治、道德与法制
B82-052 道德与社会
B82-053 道德与经济
B82-054 道德与心理
B82-054.9 道德与美学
B82-055 道德与宗教
B82-055.9 道德与语言
B82-056 道德与文艺
B82-057 道德与科学技术
B82-058 道德与环境
B82-059 其他
B82-06 伦理学流派及其研究
B82-061 人道主义
B82-062 享乐主义、利己主义
B82-063 人格主义
B82-064 功利主义、实用主义
B82-065 直观主义（直觉主义）
B82-066 元伦理学（分析伦理学）
B82-067 规范伦理学
B82-069 其他
B82-09 伦理学史
B821 人生观、人生哲学
B821.1 共产主义人生观
B821.2 非共产主义人生观
B822 国家道德
B822.1 国民公德
B822.2 集体公德
B822.9 职业道德（工作道德）
[B822.98] 专业工作道德
B823 家庭、婚姻道德
B823.1 家庭道德
B823.2 婚姻道德
B823.3 恋爱道德
B823.4 性道德、生育道德
B824 社会公德
B824.2 友谊与同志关系
B824.3 公共秩序及纪律
B824.5 社会风尚
B825 个人修养
B829 其他伦理规范
B83 美学
B83-0 美学理论
B83-02 美学哲学基础
B83-05 美学与其他学科的关系
B83-06 美学流派及其研究
B83-061 抽象主义美学、印象主义美学、形式主义美学
B83-062 唯美主义美学、相对主义美学
B83-064 结构主义美学
B83-066 自然主义美学
B83-069 其他
B83-09 美学史
B832 美学与社会生产
B832.1 技术美学
B832.2 生产场所美学
B832.3 产品美学
B832.5 劳动美学
B832.9 其他
B834 美学与现实社会生活
B834.2 城市美学
B834.3 生活美学
B834.4 社会美学
[B835] 艺术美学
B84 心理学
B84-0 心理学理论
B84-05 心理学与其他学科的关系
B84-06 心理学派别及其研究
B84-061 构造学派
B84-062 机能主义派
B84-063 行为主义派
B84-064 格式塔心理学派（完形派）
B84-065 精神分析学派
B84-066 存在主义心理学派
B84-067 人本主义学派
B84-069 其他
B84-09 心理学史
B841 心理学研究方法
B841.1 电生理技术
B841.2 数理心理学、心理统计法
[B841.3] 条件反射研究法
B841.4 实验法
B841.5 观察法
B841.7 心理测验
B842 心理过程与心理状态
B842.1 认知
B842.2 感觉与知觉
B842.3 学习与记忆
B842.4 表象与想象
B842.5 言语与思维
B842.6 情绪与情感
B842.7 意识与潜意识
B842.9 其他
B843 发生心理学
B843.1 比较心理学
B843.2 动物心理学
B843.3 原始人类心理学
B843.5 心理与遗传
B843.9 其他
B844 发展心理学（人类心理学）
B844.1 儿童心理学
B844.11 胎儿、新生儿心理学
B844.12 幼儿心理学
B844.13 智力超常儿童心理学
B844.14 变态儿童心理学
B844.2 青少年心理学
B844.3 成年人心理学
B844.4 老年人心理学
B844.5 女性心理学
B844.6 男性心理学
[B844.7] 种族心理学
B845 生理心理学
B845.1 神经心理
B845.2 感官生理心理
B845.3 内分泌与心理
B845.4 精神药物与心理
B845.5 神经化学与心理
B845.6 环境与生理心理
B845.61 居住环境与心理
B845.63 建筑、音响、照明与心理
B845.65 生态环境与心理
B845.66 特殊环境与心理
B845.67 灾害、事故、伤害与心理
B845.9 其他
B846 变态心理学、病态心理学、超意识心理学
B848 个性心理学（人格心理学）
B848.1 神经类型与气质
B848.2 能力与才能（技能）
B848.3 兴趣、态度
B848.4 信念、意志、行为
B848.5 智力、智慧
B848.6 性格
B848.8 个别差异
B848.9 其他
B849 应用心理学
B9 宗教
B91 对宗教的分析和研究
B911 宗教与社会政治
B913 宗教与科学
{B916} 对宗教的分析和研究
B917 破除迷信
B92 宗教理论与概况
B920 宗教理论、宗教思想
B921 自然神学、宗教神学
B922 宗教组织和宗教教育
[B925] 宗教文学与艺术
B928 世界各国宗教概况
B929 宗教史、宗教地理
B929.9 宗教家传记
B93 神话与原始宗教
B932 神话
B933 原始宗教
B94 佛教
B941 大藏经
B942 经及经疏
B942.1 大乘
B942.2 小乘
B942.3 秘密部
B943 律及律疏
B943.1 大乘律
B943.2 有部律
B943.3 四分律（戒本、羯磨）
B943.4 五分律
B943.9 其他
B944 论及论疏
B944.1 大乘宗经论
B944.2 大乘释经论
B944.3 大乘诸论释
B944.4 小乘论
B944.5 秘密部论
B944.6 杂藏
B945 布教、仪注
B946 宗派
B946.1 天台宗（日莲宗、法华宗）
B946.2 三论宗（法性宗）
B946.3 法相宗（唯识宗、慈恩宗）
B946.4 华严宗（贤首宗）
B946.5 禅宗（佛心宗）
B946.6 密宗（秘宗教、真言乘、金刚乘）
B946.7 律宗（南山律宗）
B946.8 净土宗（莲宗）
B946.9 其他
B947 佛教组织及寺院
B948 对佛教的分析和研究
B949 佛教史
B949.9 传记
B95 道教
B951 道藏
B952 经文
B953 戒律
B955 布教、仪注
B956 宗派
B956.1 太平道
B956.2 天师道（五斗米道）
B956.3 全真道
B956.4 真大道教（大道教）
B956.5 太一道
B956.9 其他
B957 道教组织及道观
B958 对道教的分析与研究
B959 道教史
B959.9 传记
B96 伊斯兰教（回教）
B961 古兰经（可兰经）
B963 教义、规律
B964 圣训及注释
B965 布教、仪注
B966 宗派
B966.1 逊尼派（圣训派）
B966.2 十叶派（什叶派）
B966.3 近现代新教派
B967 教会组织及清真寺
B968 对伊斯兰教的分析与研究
B969 伊斯兰教史
B969.9 传记
B97 基督教
B971 圣经
B971.1 旧约
B971.2 新约
B972 教义、神学
B975 布教、传道、仪注
B976 宗派
B976.1 天主教（旧教、公教、罗马公教）
B976.2 正教（东正教）
B976.3 新教（耶稣教、更正教）
B977 教会组织及教堂
B978 对基督教的分析与研究
B979 基督教史
B979.9 传记
B98 其他宗教
B981 神道教
B982 婆罗门教、印度教、耆那教、锡克教
B983 琐罗亚斯德教（袄教）、波斯教
B985 犹太教（希伯来教）
B986 希腊教、罗马教
B987 呼都（伏都）教（非洲）
B989.1 其他古代宗教
B989.2 地方宗教
B989.3 新兴宗教
B99 术数、迷信
B991 世界
B992 中国
B992.1 阴阳五行说
B992.2 占卜
B992.3 命相
B992.4 堪舆（风水）
B992.5 巫医、巫术
B992.9 其他
B993/997 各国
C 社会科学总论
C0 社会科学理论与方法论
C01 科学研究的方针、政策及其阐述
C02 科学的哲学原理
C03 科学的方法论
C04 术语规范与交流
C05 与其他科学的关系
C06 学派及其学说
C08 资产阶级理论及其评论研究
C09 社会科学史
